22 0,000636813
165 0,00493505
236 0,00742462
251 0,00943821
168 0,00552417
8 0,000408781
48 0,00151919
136 0,00394052
207 0,00699747
171 0,00503535
115 0,00329469
75 0,00209775
205 0,00721174
136 0,00415402
76 0,00209642
56 0,00193502
12 0,000385664
7 0,00039167
214 0,00721796
96 0,00298627
107 0,00308189
19 0,000525067
136 0,00467965
99 0,00282585
125 0,00367002
100 0,00320446
212 0,00614394
99 0,00338136
126 0,00373623
92 0,00254446
110 0,00339415
216 0,00641311
161 0,00538979
164 0,00482533
109 0,00392075
197 0,00567405
118 0,00411288
234 0,00764371
234 0,00740101
68 0,00182293
137 0,00431479
202 0,00577441
17 0,000490565
41 0,00149265
153 0,00462803
218 0,00813246
194 0,00577064
182 0,00608387
80 0,00219805
162 0,00520618
33 0,00102764
115 0,00335776
215 0,00688621
72 0,00189961
135 0,00444728
116 0,00346085
138 0,00395386
8 0,000296197
13 0,000465073
68 0,00224211
106 0,00318825
12 0,000405918
81 0,00226677
11 0,000382312
52 0,00186644
149 0,00449177
194 0,00658254
100 0,00294996
14 0,000473594
29 0,000839353
212 0,00716159
84 0,00240813
182 0,00610566
183 0,00548534
75 0,00229464
147 0,00430676
164 0,00506657
19 0,000597492
227 0,00726943
91 0,00304033
50 0,00158637
101 0,00284722
241 0,00830699
85 0,00229464
170 0,00562781
80 0,00228185
34 0,000966673
87 0,00237502
171 0,00565666
158 0,00452397
197 0,00600432
141 0,00420605
134 0,00407726
210 0,00602046
256 0,00846937
198 0,00663171
10 0,000342083
90 0,00242377
16 0,000502438
162 0,00540872
151 0,00444686
33 0,000867219
101 0,00327116
35 0,00109288
97 0,00272856
19 0,000582336
218 0,00706836
199 0,00584537
161 0,00514423
149 0,00426514
193 0,00647464
